Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Mean Vietnamese,Example Sentence Mean English,Example Sentence Sound,Hanviet
ぺこぺこ,ペコペコ,[sound:ぺこぺこ.ogg],,trống rỗng,お腹がぺこぺこです。,Tôi đói meo mốc.,I am terribly hungry.,[sound:お腹がぺこぺこです.ogg],
跨る,またがる,[sound:跨る.ogg],,ngồi tư thế cưỡi ngựa,馬の背にまたがり野山を走り回った。,Ngồi lên lưng ngựa và chạy đến rừng núi.,I rode around the country on horseback.,[sound:馬の背にまたがり野山を走り回った.ogg],
まるっきり,まるっきり,[sound:まるっきり.ogg],,hoàn toàn,おもってたのとまるっきり違いますねえ。,Khác hoàn toàn so với những gì tôi nghĩ.,It's really different from what I expected.,[sound:おもってたのとまるっきり違いますねえ.ogg],
むしる,むしる,[sound:むしる.ogg],,nhổ (răng…),ぐはっ！？俺の貴重な頭髪を、むしるな！,Ôi trời ơi! Đừng cạo đầu quý giá của tôi!,O-oi!? Don't rip off my precious hair!,[sound:ぐはっ！？俺の貴重な頭髪を、むしるな！.ogg],
明瞭,めいりょう,[sound:明瞭.ogg],,rõ ràng,その２語の用法の区別は明瞭である。,Sự phân biệt trong cách sử dụng hai từ đó rõ ràng.,The distinction in usage between the two words is clear.,[sound:その２語の用法の区別は明瞭である.ogg], 
もっぱら,もっぱら,[sound:もっぱら.ogg],,tập trung,その特権はもっぱらご婦人だけに限られている。,Đặc quyền đó chỉ giới hạn cho các bà.,The privilege is reserved exclusively for women.,[sound:その特権はもっぱらご婦人だけに限られている.ogg],
やり通す,やりとおす,[sound:やり通す.ogg],,làm đến cùng,君は計画を遣り通さなければならない。,Bạn phải tiến hành kế hoạch của mình.,You must go through with your plan.,[sound:君は計画を遣り通さなければならない.ogg],
目力,めぢから,[sound:目力.ogg],"<img src=""目力.jpg"">",sức mạnh của ánh mắt,,,,,MỤC LỰC
掛け持ち,かけもち,[sound:掛け持ち.ogg],,làm cả hai việc một lần,部活のかけもち、大変だと思うけどがんばれよ。,"Tôi biết việc tham gia nhiều hoạt động ngoại khóa cực kỳ vất vả, nhưng hãy cố gắng lên nhé.","I'm sure it's tough taking part in the activities of two clubs, but good luck!",[sound:部活のかけもち、大変だと思うけどがんばれよ.ogg], TRÌ
本末転倒,ほんまつてんとう,[sound:本末転倒.ogg],,không làm việc chính lại đi làm việc chẳng đâu vào đâu,あなたの言っていることは本末転倒だと思わないかい？,Bạn có nghĩ những gì bạn đang nói là đi ngược lại vấn đề chính không?,Don't you think you're putting the cart before the horse?,[sound:あなたの言っていることは本末転倒だと思わないかい？.ogg],"BẢN,BỔN MẠT CHUYỂN ĐẢO"
一瞬,いっしゅん,[sound:一瞬.ogg],"<img src=""一瞬.jpg"">","trong phút chốc, trong tích tắc",それは私にとってはらはらする一瞬だった。,Điều đó đã làm tim tôi đập thình thịch trong một khoảnh khắc.,It was a nervous moment for me.,[sound:それは私にとってはらはらする一瞬だった.ogg],NHẤT THUẤN
通常,つうじょう,[sound:通常.ogg],"<img src=""通常.jpg"">",thông thường,彼は、通常バスで学校へ行きます。,Anh ấy thường đi học bằng xe bus.,He usually goes to school by bus.,[sound:彼は、通常バスで学校へ行きます.ogg], THƯỜNG
常に,つねに,[sound:常に.ogg],"<img src=""常に.jpg"">","thường lệ, lúc nào cũng, luôn luôn",常に疲労感があります。,Tôi luôn cảm thấy mệt mỏi.,I always have a tired feeling.,[sound:常に疲労感があります.ogg],THƯỜNG
挫折,ざせつ,[sound:挫折.ogg],"<img src=""挫折.jpg"">","thất bại, sụp đổ, chùn bước",資金不足のためわれわれの計画は挫折した。,Kế hoạch của chúng tôi đã thất bại do thiếu vốn.,Our plan failed because of the shortage of funds.,[sound:資金不足のためわれわれの計画は挫折した.ogg],TỎA TRIẾT
愚痴,ぐち,[sound:愚痴.ogg],"<img src=""愚痴.jpg"">","than vãn, phàn nàn",,,,,NGU 
取り寄せる,とりよせる,[sound:取り寄せる.ogg],,đặt hàng,お取り寄せいたしましょうか。,Tôi có thể đặt hàng cho bạn không?,Would you like me to order it?,[sound:お取り寄せいたしましょうか.ogg],THỦ KỲ
グルメ,グルメ,[sound:グルメ.ogg],"<img src=""グルメ.jpg"">","phong vị món ăn, người sành ăn",,,,,
達成,たっせい,[sound:達成.ogg],"<img src=""達成.jpg"">",đạt được,アンは望んでいた目標を達成した。,Ann đã đạt được mục tiêu mà cô ấy ao ước.,Ann has achieved her desired goal.,[sound:アンは望んでいた目標を達成した.ogg],ĐẠT THÀNH
無断,むだん,[sound:無断.ogg],,tự ý (làm gì đó mà không xin phép),彼女はよく無断欠席をする。,Cô ấy thường vắng mặt mà không có lí do.,She is often absent without leave.,[sound:彼女はよく無断欠席をする.ogg]," ĐOẠN,ĐOÁN"
前衛,ぜんえい,[sound:前衛.ogg],"<img src=""前衛.jpg"">","tiền vệ, tiên phong, mới (nghệ thuật)",駄目だよ。君、背が高いんだから前衛に来てくれないと。,"Không được rồi. Bạn cao lắm, nên hãy đến phía trước.",That's no good! You're tall so you've got to be in the forward defence.,[sound:駄目だよ君、背が高いんだから前衛に来てくれないと.ogg],TIỀN VỆ
存続,そんぞく,[sound:存続.ogg],,tiếp tục tồn tại,その地方ではその古い風俗がなお存続している。,Tập tục cũ đó vẫn tồn tại ở vùng đó.,The old custom is still kept up in that district.,[sound:その地方ではその古い風俗がなお存続している.ogg],TỒN TỤC
愛顧,あいこ,[sound:愛顧.ogg],"<img src=""愛顧.jpg"">","(khách hàng) thân thiết, quen thuộc",日頃のご愛顧にお礼申し上げます。,Xin cảm ơn sự ủng hộ của quý khách hàng thường xuyên.,We really thank you for your patronage.,[sound:日頃のご愛顧にお礼申し上げます.ogg],ÁI CỐ
諸,しょ,[sound:諸.ogg],"<img src=""諸.jpg"">",prefix nhiều,諸設備の費用は払っていただきます。,Quý khách vui lòng thanh toán chi phí cho các thiết bị khác nhau.,You have to pay for utilities.,[sound:諸設備の費用は払っていただきます.ogg],
頻発,ひんぱつ,[sound:頻発.ogg],,thường xuyên (xảy ra),,,,,TẦN PHÁT
抜群,ばつぐん,[sound:抜群.ogg],"<img src=""抜群.jpg"">","nổi bật, quá tốt",あなたはユーモアのセンスが抜群です。,Bạn có khả năng hài hước tuyệt vời.,You've got a great sense of humor.,[sound:あなたはユーモアのセンスが抜群です.ogg],BẠT QUẦN
解釈,かいしゃく,[sound:解釈.ogg],"<img src=""解釈.jpg"">","giải thích, làm sáng tỏ",それは２通りに解釈できる。,Điều đó có thể được hiểu theo hai cách.,That reads two different ways.,[sound:それは２通りに解釈できる.ogg],GIẢI 
訳す,やくす,[sound:訳す.ogg],,"dịch, thông dịch",この文を英語に訳しなさい。,Hãy dịch câu này sang tiếng Anh.,Put this sentence into English.,[sound:この文を英語に訳しなさい.ogg],DỊCH
一丸,いちがん,[sound:一丸.ogg],"<img src=""一丸.jpg"">","(tất cả) cùng đồng lòng, nhất trí, trở thành một",,,,,NHẤT HOÀN
質感,しつかん,[sound:質感.ogg],"<img src=""質感.jpg"">","cảm giác (về đồ vật nào đó), chất lượng",,,,,CHẤT CẢM
目処,めど,[sound:目処.ogg],"<img src=""目処.jpg"">","quan điểm, tầm nhìn, mục tiêu",,,,,"MỤC XỬ,XỨ"
立ち上がる,たちあがる,[sound:立ち上がる.ogg],"<img src=""立ち上がる.jpg"">",đứng dậy,突然若い女性が立ち上がった。,Một phụ nữ trẻ đứng lên đột ngột.,"Suddenly, a young woman stood up.",[sound:突然若い女性が立ち上がった.ogg],LẬP THƯỢNG
排出,はいしゅつ,[sound:排出.ogg],"<img src=""排出.jpg"">",thải ra ngoài,炭素排出量の変動が、以下のグラフに描かれている。,Biểu đồ dưới đây miêu tả sự biến động lượng khí carbon thải.,The differing volumes of carbon emissions are plotted in the graph below.,[sound:炭素排出量の変動が、以下のグラフに描かれている.ogg], XUẤT
入閣,にゅうかく,[sound:入閣.ogg],"<img src=""入閣.jpg"">","vào nội các, gia nhập nội các",,,,,NHẬP CÁC
苦楽,くらく,[sound:苦楽.ogg],"<img src=""苦楽.jpg"">","khổ lạc, khổ và sướng",私は貴方と苦楽を共にしよう。,Tôi sẽ chia sẻ khó khăn và niềm vui cùng bạn.,I'll share both troubles and joys with you.,[sound:私は貴方と苦楽を共にしよう.ogg],"KHỔ LẠC,NHẠC"
対戦,たいせん,[sound:対戦.ogg],"<img src=""対戦.jpg"">","đối chiến, cuộc chiến",私はチャンピオンと対戦した。,Tôi đã thi đấu với nhà vô địch.,I played against the champion.,[sound:私はチャンピオンと対戦した.ogg],ĐỐI CHIẾN
思春期,ししゅんき,[sound:思春期.ogg],"<img src=""思春期.jpg"">","tuổi mới lớn, tuổi dậy thì",自分の思春期を振り返ると、いつも憂うつな気分になる。,"Khi nhìn lại tuổi thơ dậy thì của mình, tôi luôn cảm thấy buồn bã.",I cannot look back on my adolescence without feeling depressed.,[sound:自分の思春期を振り返ると、いつも憂うつな気分になる.ogg], XUÂN KỲ
怪しむ,あやしむ,[sound:怪しむ.ogg],,"nghi ngờ, ngờ vực, hồ nghi",私達はその食べ物のにおいを怪しみながらかいだ。,Chúng tôi nếm thử với sự nghi ngờ về mùi hương của món ăn đó.,We sniffed at the food suspiciously.,[sound:私達はその食べ物のにおいを怪しみながらかいだ.ogg],QUÁI
アピール,アピール,[sound:アピール.ogg],"<img src=""アピール.jpg"">","thể hiện mình, tạo chú ý cho mình",,,,,
大根おろし,だいこんおろし,[sound:大根おろし.ogg],"<img src=""大根おろし.jpg"">",củ cải trắng mài nhuyễn,,,,,ĐẠI CĂN
炊く,たく,[sound:炊く.ogg],"<img src=""炊く.jpg"">",nấu cơm,ご飯の上手なたき方を知っていますか。,Bạn có biết cách nấu cơm ngon không?,Do you know how to cook rice well?,[sound:ご飯の上手なたき方を知っていますか.ogg],XUY
土鍋,どなべ,[sound:土鍋.ogg],"<img src=""土鍋.jpg"">",nồi đất,,,,,THỔ OA
漬物,つけもの,[sound:漬物.ogg],"<img src=""漬物.jpg"">",món ngâm chua,,,,,TÝ VẬT
端的,たんてき,[sound:端的.ogg],"<img src=""端的.jpg"">","trung trực, thẳng thắn",端的に言って、彼は首になったのだ。,"Nói một cách rõ ràng, anh ta đã bị sa thải.","To make a long story short, he was fired.",[sound:端的に言って、彼は首になったのだ.ogg],ĐOAN ĐÍCH
絶妙,ぜつみょう,[sound:絶妙.ogg],"<img src=""絶妙.jpg"">",tuyệt diệu,,,,,TUYỆT 
徹底,てってい,[sound:徹底.ogg],"<img src=""徹底.jpg"">",triệt để,生産性はオートメーションの徹底によって向上する。,Hiệu suất sản xuất được cải thiện thông qua sự tự động hoá toàn diện.,Production improves by becoming more automatic.,[sound:生産性はオートメーションの徹底によって向上する.ogg],TRIỆT ĐỂ
生臭い,なまぐさい,[sound:生臭い.ogg],,hôi tanh (cá),,,,,SINH XÚ
生身,なまみ,[sound:生身.ogg],,"phần thịt, cá sống, tươi sống",,,,,SINH THÂN
合間,あいま,[sound:合間.ogg],"<img src=""合間.jpg"">",thời gian giữa (hai việc gì đó),勉強の合間に私はテレビをみた。,"Trong lúc học, tôi đã xem TV.",I watched television during a break in my studies.,[sound:勉強の合間に私はテレビをみた.ogg],"HỢP,CÁP "
ガレージ,ガレージ,[sound:ガレージ.ogg],"<img src=""ガレージ.jpg"">","ga-ra, nhà để ô tô",父はガレージを掃除している。,Cha tôi đang dọn dẹp gara.,My father is sweeping the garage.,[sound:父はガレージを掃除している.ogg],
コントラスト,コントラスト,[sound:コントラスト.ogg],"<img src=""コントラスト.jpg"">","sự tương phản, sự trái ngược",その洋服は赤と白のコントラストが美しい。,Bộ quần áo đó có sự tương phản đẹp giữa màu đỏ và trắng.,The dress has a beautiful contrast between red and white.,[sound:その洋服は赤と白のコントラストが美しい.ogg],
誂える,あつらえる,[sound:誂える.ogg],,"đặt thợ làm (quần áo, giày dép…)",私はデパートでオーバーをあつらえた。,Tôi đã đặt may một chiếc áo khoác dài ở cửa hàng lớn.,I ordered my overcoat from a department store.,[sound:私はデパートでオーバーをあつらえた.ogg],
操る,あやつる,[sound:操る.ogg],"<img src=""操る.jpg"">","thao tác, điều khiển",儲けようとする投機筋に操られているのです。,Tôi đang bị kiểm soát bởi những người mưu lợi muốn kiếm lời.,It's being manipulated by investors trying to make it rich.,[sound:儲けようとする投機筋に操られているのです.ogg],"THAO,THÁO"
鬱陶しい,うっとうしい,[sound:鬱陶しい.ogg],"<img src=""鬱陶しい.jpg"">","tối tăm, u ám, ảm đạm, u sầu",毎日うっとうしくていやですね。,"Mỗi ngày đều khó chịu và không thích, phải không?",,[sound:毎日うっとうしくていやですね.ogg],UẤT ĐÀO
婉曲,えんきょく,[sound:婉曲.ogg],,"(nói) bóng gió, ẩn ý",,,,,UYỂN KHÚC
円満,えんまん,[sound:円満.ogg],,viên mãn,争議は円満に解決した。,Tranh chấp đã được giải quyết một cách êm đẹp.,The dispute was settled peacefully.,[sound:争議は円満に解決した.ogg],VIÊN MÃN
臆病,おくびょう,[sound:臆病.ogg],"<img src=""臆病.jpg"">",sự nhát gan,彼がああ臆病だとは思わなかった。,Tôi không nghĩ rằng anh ấy lại nhát gan như vậy.,I did not think he was so timid.,[sound:彼がああ臆病だとは思わなかった.ogg],ỨC 
煽てる,おだてる,[sound:煽てる.ogg],,"tâng bốc, xu nịnh",まず彼をおだてておいたほうがいいですよ。,Bạn nên tâng bốc anh ấy trước đã.,You had better try buttering him up first.,[sound:まず彼をおだてておいたほうがいいですよ.ogg],
おどおど,オドオド,[sound:おどおど.ogg],,run rẩy,その来たばかりの子はおどおどして口ごもった。,Đứa trẻ mới đến đang lúng túng và nói lắp bắp.,The new boy had a nervous stammer.,[sound:その来たばかりの子はおどおどして口ごもった.ogg],
似通う,にかよう,[sound:似通う.ogg],,"giống nhau (khuôn mặt, hình dáng…)",あなたと私の悩みは似通っている。,Sự lo lắng của bạn và tôi giống nhau.,Your problem and mine are similar.,[sound:あなたと私の悩みは似通っている.ogg],TỰ 
清らか,きよらか,[sound:清らか.ogg],"<img src=""清らか.jpg"">","trong xanh, trong lành",,,,,
滑らか,なめらか,[sound:滑らか.ogg],"<img src=""滑らか.jpg"">","mềm mại, mượt mà, mịn màng",海は穏やかに、そしてなめらかに見える。,Biển trông yên bình và mịn màng.,The sea looks calm and smooth.,[sound:海は穏やかに、そしてなめらかに見える.ogg],HOẠT
抜け出す,ぬけだす,[sound:抜け出す.ogg],,"lấy ra, tháo ra, rút ra",あ、みんなには内緒だよ？寮を夜中に抜け出すのは厳罰だからね？,"À, giữ bí mật với mọi người nhé? Thoát khỏi ký túc xá vào giữa đêm sẽ bị xử phạt nghiêm khắc đó.","Oh, that's a secret, OK? Because slipping out of the dorm in the night is severely punished.",[sound:あ、みんなには内緒だよ？寮を夜中に抜け出すのは厳罰だからね？.ogg],BẠT XUẤT
人情,にんじょう,[sound:人情.ogg],"<img src=""人情.jpg"">",nhân tình,隣近所に対して見栄を張るのは人情ですよ。,Khoe khoang trước hàng xóm là tình cảm của con người đấy.,It's only natural to keep up with the Joneses.,[sound:隣近所に対して見栄を張るのは人情ですよ.ogg],NHÂN TÌNH
根回し,ねまわし,[sound:根回し.ogg],,bứng gốc (cây),大統領は辞任する前にお金に困らないように根回しした。,Tổng thống đã chuẩn bị sẵn tiền trước khi từ chức để không gặp khó khăn về tài chính.,The president made certain that he lined his pockets before he resigned.,[sound:大統領は辞任する前にお金に困らないように根回しした.ogg],CĂN HỒI
望ましい,のぞましい,[sound:望ましい.ogg],"<img src=""望ましい.jpg"">","đáng ao ước, đáng mong đợi, hi vọng",その会合には出席されることが望ましい。,Mong muốn rằng ai đó có thể tham dự cuộc họp đó.,It is desirable that you should attend the meeting.,[sound:その会合には出席されることが望ましい.ogg],VỌNG
拝借,はいしゃく,[sound:拝借.ogg],,,ちょっと知恵を拝借ねがえませんか。,Xin mượn chút khôn ngoan của bạn được không?,Could you give me some advice?,[sound:ちょっと知恵を拝借ねがえませんか.ogg],BÁI 
配列,はいれつ,[sound:配列.ogg],"<img src=""配列.jpg"">","sắp xếp, xếp hàng",,,,,PHỐI LIỆT
迫害,はくがい,[sound:迫害.ogg],"<img src=""迫害.jpg"">","khủng bố, ngược đãi, hành hạ",ローマ人はキリスト教徒を迫害した。,Người La Mã đã hành hạ người theo Kitô giáo.,The Romans persecuted Christians.,[sound:ローマ人はキリスト教徒を迫害した.ogg],BÁCH HẠI
初耳,はつみみ,[sound:初耳.ogg],,"mới nghe lần đầu, lần đầu tiên nghe",初耳ですね。,Nghe lần đầu đó à.,This is the first time I heard about it.,[sound:初耳ですね.ogg],SƠ NHĨ
阻む,はばむ,[sound:阻む.ogg],,"cản trở, gây trở ngại",彼らは大きな川に前進を阻まれた。,Họ bị ngăn cản tiến lên bởi một con sông lớn.,Their progress was stopped by a wide river.,[sound:彼らは大きな川に前進を阻まれた.ogg],TRỞ
万能,ばんのう,[sound:万能.ogg],"<img src=""万能.jpg"">",vạn năng,もちろん万能ではないからといって価値がないわけではないから、ＧＴＤはダメということにはならない。,"Tất nhiên, việc nó không phải là một phương pháp đa năng không có giá trị, nên không có nghĩa là GTD là không tốt.","Of course you can't say that it's worth nothing because it isn't perfect, so that doesn't mean that GTD is useless.",[sound:もちろん万能ではないからといって価値がないわけではないから、ＧＴＤはダメということにはならない.ogg],VẠN NĂNG
びっしょり,びっしょり,[sound:びっしょり.ogg],,"ướt chèm nhẹp, ướt tơi tả",彼女の顔は汗でびっしょりだった。,Khuôn mặt cô ấy ướt đẫm mồ hôi.,Her face was drenched with sweat.,[sound:彼女の顔は汗でびっしょりだった.ogg],
匹敵,ひってき,[sound:匹敵.ogg],,"ngang tài, ngang sức",あなたは知力で彼に匹敵している。,Bạn ngang tài với anh ấy về trí tuệ.,You are equal to him in intelligence.,[sound:あなたは知力で彼に匹敵している.ogg],THẤT ĐỊCH
ひょっとしたら,ひょっとしたら,[sound:ひょっとしたら.ogg],,"nói không chừng thì…, không chừng thì…",彼の予言は、ひょっとしたら的中するかもしれない。,"Tiên tri của anh ấy, có thể là sẽ chính xác.",His prediction might come true.,[sound:彼の予言は、ひょっとしたら的中するかもしれない.ogg],
物議,ぶつぎ,[sound:物議.ogg],"<img src=""物議.jpg"">","chuyện ầm ĩ, xôn xao bàn tán, chuyện bị lên án",その作品が画壇に大いに物議をかもした。,Tác phẩm đó đã gây nhiều tranh cãi trong giới họa sĩ.,This artwork excited much controversy in the world of art.,[sound:その作品が画壇に大いに物議をかもした.ogg],VẬT NGHỊ
踏まえる,ふまえる,[sound:踏まえる.ogg],,"giẫm lên, đạp lên, lấy làm cơ sở, lấy làm tiền đề (nghĩa bóng)",この段階を踏まえ、抑圧という概念をさらに詳細に検証していくことになります。,"Dựa vào giai đoạn này, chúng ta sẽ tiếp tục kiểm tra và xác minh khái niệm đàn áp một cách chi tiết hơn.",From this point we go on to an even more detailed examination of the concept of repression.,[sound:この段階を踏まえ、抑圧という概念をさらに詳細に検証していくことになります.ogg],ĐẠP
ふんだん,ふんだん,[sound:ふんだん.ogg],"<img src=""ふんだん.jpg"">","dư thừa, quá nhiều",,,,,
茫然,ぼうぜん,[sound:茫然.ogg],"<img src=""茫然.jpg"">","conjugation thờ người ra, ngẩn người ra",,,,,MANG NHIÊN
ぼやく,ぼやく,[sound:ぼやく.ogg],,"phàn nàn, càm ràm",,,,,
正しく,まさしく,[sound:正しく.ogg],"<img src=""正しく.jpg"">",một cách đúng đắn,彼女はまさしく支払わされたのだ。,Cô ấy đã bị buộc phải trả tiền.,She was jolly well made to pay.,[sound:彼女はまさしく支払わされたのだ.ogg],CHÍNH
まちまち,まちまち,[sound:まちまち.ogg],,"mỗi cái mỗi khác, mỗi người mỗi khác",その件について彼らの意見はまちまちだ。,Ý kiến của họ về vấn đề đó là khác nhau.,Their views vary on the subject.,[sound:その件について彼らの意見はまちまちだ.ogg],
丸める,まるめる,[sound:丸める.ogg],,"vo tròn, cuộn tròn",より寒い日には、体を丸めたり、雪の中に穴を掘ったりする。,"Trong những ngày lạnh hơn, chúng ta gập người lại hoặc đào lỗ trong tuyết.","On colder days, they curl up or dig a hole in the snow.",[sound:より寒い日には、体を丸めたり、雪の中に穴を掘ったりする.ogg],HOÀN
身の回り,みのまわり,[sound:身の回り.ogg],"<img src=""身の回り.jpg"">",xung quanh mình,これはみんな身の回り品ですか。,Có phải đây là các đồ đạc cá nhân của mọi người không?,Are these all your belongings?,[sound:これはみんな身の回り品ですか.ogg],THÂN HỒI
無茶,むちゃ,[sound:無茶.ogg],"<img src=""無茶.jpg"">","vô lý, quá đáng, lố bịch",無茶しなければよかった。,Nếu không hành động quá đáng thì tốt rồi.,I shouldn't have overdone it.,[sound:無茶しなければよかった.ogg], 
無闇に,むやみに,[sound:無闇に.ogg],,"một cách mù quáng, một cách thiếu suy nghĩ",むやみに自殺を否定しようとは思いませんが、親が子どもを道連れにするのはぜったいにやめてほしい、と思います。,"Tôi không nghĩ rằng chúng ta nên phủ nhận tự sát một cách vô tội, nhưng tôi muốn nói rằng cha mẹ tuyệt đối không nên kéo theo con cái.","I don't intend to flatly reject suicide, but I really wish parents would not make their children join in with them.",[sound:むやみに自殺を否定しようとは思いませんが、親が子どもを道連れにするのはぜったいにやめてほしい、と思います.ogg], ÁM
相場,そうば,[sound:相場.ogg],"<img src=""相場.jpg"">","giá cả nhìn chung, giá cả thị trường",そこ知らずの相場だ。,Đó là giá không biết đến.,The bottom has fallen out of the market.,[sound:そこ知らずの相場だ.ogg],"TƯƠNG,TƯỚNG TRƯỜNG"
即する,そくする,[sound:即する.ogg],"<img src=""即する.jpg"">","vừa khớp, vừa khít, đúng chính xác",彼の伝記は全くの事実に即して書かれたものだ。,Cuộc đời anh ấy được viết dựa trên sự thật tuyệt đối.,His biography is quite true to life.,[sound:彼の伝記は全くの事実に即して書かれたものだ.ogg],
新築,しんちく,[sound:新築.ogg],"<img src=""新築.jpg"">",nhà mới xây,家を新築中です。,Tôi đang xây nhà mới.,I'm getting a new house built.,[sound:家を新築中です.ogg],TÂN TRÚC
圏,けん,[sound:圏.ogg],"<img src=""圏.jpg"">","khu, vùng",彼女のイントネーションから推すに少女時代はスペイン語圏に住んでいたと思われる。,"Dựa trên giọng điệu của cô ấy, có thể nghĩ rằng cô ấy đã sống ở khu vực nói tiếng Tây Ban Nha khi còn là một cô gái.",You can tell by her intonation that she lived in a Spanish speaking country when she was young.,[sound:彼女のイントネーションから推すに少女時代はスペイン語圏に住んでいたと思われる.ogg],QUYỀN
キャンペーン,キャンペーン,[sound:キャンペーン.ogg],"<img src=""キャンペーン.jpg"">",đợt khuyến mãi,そのキャンペーンは、彼を驚かせた。,Chiến dịch đó đã làm anh ấy ngạc nhiên.,The campaign took his breath.,[sound:そのキャンペーンは、彼を驚かせた.ogg],
リフォーム,リフォーム,[sound:リフォーム.ogg],"<img src=""リフォーム.jpg"">",sửa nhà lại cho mới,うちのマンションも古くなったから、リフォームして気分を換えるか。,"Căn hộ của chúng tôi cũ đi, vì vậy liệu chúng tôi có thể nâng cấp và thay đổi không gian không?",This condo is getting old. Why don't we redecorate to give it a fresh feel?,[sound:うちのマンションも古くなったから、リフォームして気分を換えるか.ogg],
限界,げんかい,[sound:限界.ogg],"<img src=""限界.jpg"">",mức giới hạn,あらゆるものに限界がある。,Mọi thứ đều có giới hạn của nó.,There is a limit to everything.,[sound:あらゆるものに限界がある.ogg],HẠN CõiĐời
立地,りっち,[sound:立地.ogg],"<img src=""立地.jpg"">","vị trí, nơi, chỗ",,,,,LẬP 
差し支える,さしつかえる,[sound:差し支える.ogg],,"gây trở ngại, gây tổn hại",,,,, CHI
内覧,ないらん,[sound:内覧.ogg],"<img src=""内覧.jpg"">",xem bên trong,,,,,NỘI 
身だしなみ,みだしなみ,[sound:身だしなみ.ogg],"<img src=""身だしなみ.jpg"">",sự chỉnh chu (vẻ ngoài),朝は洗顔はもちろん身だしなみを整えてからここに集まるんだ。,"Buổi sáng, chúng ta sẽ tập trung tại đây sau khi rửa mặt và chuẩn bị về ngoại hình.","Obviously wash your face, but you must also take care of your appearance before assembling here.",[sound:朝は洗顔はもちろん身だしなみを整えてからここに集まるんだ.ogg],THÂN
表情,ひょうじょう,[sound:表情.ogg],"<img src=""表情.jpg"">","biểu cảm, sự thể hiện tình cảm",彼の頭がさっと怒りの表情に変わるのを見た。,Tôi đã thấy cách cái đầu của anh ấy nhanh chóng chuyển đổi thành biểu cảm tức giận.,I saw his face switch to anger.,[sound:彼の頭がさっと怒りの表情に変わるのを見た.ogg], TÌNH
用心,ようじん,[sound:用心.ogg],"<img src=""用心.jpg"">","sự cẩn thận, đề phòng, lo trước",火には、用心しなさい。,Hãy cẩn thận với lửa.,Be on your guard against fire.,[sound:火には、用心しなさい.ogg],DỤNG TÂM
プランター,プランター,[sound:プランター.ogg],"<img src=""プランター.jpg"">","chậu để trồng hoa, rau",,,,,
投資,とうし,[sound:投資.ogg],"<img src=""投資.jpg"">",đầu tư,彼は自分のお金を株に投資した。,Anh ấy đã đầu tư tiền của mình vào cổ phiếu.,He invested his money in stocks.,[sound:彼は自分のお金を株に投資した.ogg],ĐẦU
気楽,きらく,[sound:気楽.ogg],"<img src=""気楽.jpg"">","nhẹ người, thoải mái",ほんの気楽なパーティーだった。,Đó chỉ là một buổi tiệc nhẹ nhàng.,It was only an informal party.,[sound:ほんの気楽なパーティーだった.ogg],"KHÍ LẠC,NHẠC"
編成,へんせい,[sound:編成.ogg],"<img src=""編成.jpg"">","tổ chức, sắp xếp",この列車は七両編成です。,Chuyến tàu này có 7 toa.,This train is made up of seven cars.,[sound:この列車は七両編成です.ogg],BIÊN THÀNH
則る,のっとる,[sound:則る.ogg],,"theo quy tắc, tuân thủ đúng quy tắc",利益追求に必死のブローカーは、必ずしもルールブックにのっとっているとは限らないのです。,Những nhà môi giới quyết tâm theo đuổi lợi nhuận không nhất thiết luôn tuân thủ sách quy tắc.,Brokers struggling to make a profit don't always play by the book.,[sound:利益追求に必死のブローカーは、必ずしもルールブックにのっとっているとは限らないのです.ogg],
秘訣,ひけつ,[sound:秘訣.ogg],"<img src=""秘訣.jpg"">",bí quyết,おいしいジャムを作る秘訣を教えてください。,Hãy chỉ cho tôi bí quyết để làm mứt ngon.,Please tell me the secret to making good jam.,[sound:おいしいジャムを作る秘訣を教えてください.ogg], 
スーパーチェーン,スーパーチェーン,[sound:スーパーチェーン.ogg],,"dây chuyền, hệ thống siêu thị",,,,,
事例,じれい,[sound:事例.ogg],"<img src=""事例.jpg"">","trường hợp, hoàn cảnh, tình thế",これこそ適切な事例だと思う。,Tôi nghĩ đây chính là một ví dụ phù hợp.,I believe this is a case in point.,[sound:これこそ適切な事例だと思う.ogg], LIỆT
頭髪,とうはつ,[sound:頭髪.ogg],"<img src=""頭髪.jpg"">","đầu tóc, mái tóc",ぐはっ！？俺の貴重な頭髪を、むしるな！,Ôi trời ơi! Đừng cạo đầu quý giá của tôi!,O-oi!? Don't rip off my precious hair!,[sound:ぐはっ！？俺の貴重な頭髪を、むしるな！.ogg],ĐẦU 
趣旨,しゅし,[sound:趣旨.ogg],"<img src=""趣旨.jpg"">",tiêu chí,彼のスピーチの主旨を教えてください。,Hãy cho tôi biết ý chính của bài diễn thuyết của anh ấy.,Tell me the substance of his speech.,[sound:彼のスピーチの主旨を教えてください.ogg], CHỈ
絵馬,えま,[sound:絵馬.ogg],"<img src=""絵馬.jpg"">","tấm gỗ để viết lời cầu nguyện trong đền, chùa",,,,,HỘI 
縁起物,えんぎもの,[sound:縁起物.ogg],"<img src=""縁起物.jpg"">","vật mang điềm báo, vật để cầu nguyện",,,,,DUYÊN  VẬT
